Group	control_tissue	tissue_type	day	cage
tissue__lung___D7_004	tissue	lung	D7	4
tissue__cecum__D7_004	tissue	cecum	D7	4
tissue__tongue_D7_004	tissue	tongue	D7	4
tissue__lung___D7_005	tissue	lung	D7	5
tissue__cecum__D7_005	tissue	cecum	D7	5
tissue__tongue_D7_005	tissue	tongue	D7	5
tissue__lung___D7_006	tissue	lung	D7	6
tissue__cecum__D7_006	tissue	cecum	D7	6
tissue__tongue_D7_006	tissue	tongue	D7	6
control_homog__XX_001	control	homog	XX	1
control_homog__XX_002	control	homog	XX	2
control_isolat_XX_010	control	isolat	XX	10
control_isolat_XX_011	control	isolat	XX	11
control_isolat_XX_012	control	isolat	XX	12
control_isolat_XX_001	control	isolat	XX	1
control_isolat_XX_002	control	isolat	XX	2
control_isolat_XX_003	control	isolat	XX	3
control_isolat_XX_004	control	isolat	XX	4
control_isolat_XX_005	control	isolat	XX	5
control_isolat_XX_006	control	isolat	XX	6
control_isolat_XX_007	control	isolat	XX	7
control_isolat_XX_008	control	isolat	XX	8
control_isolat_XX_009	control	isolat	XX	9
control_perfus_XX_001	control	perfus	XX	1
control_perfus_XX_002	control	perfus	XX	2
control_water__XX_001	control	water	XX	1
control_water__XX_002	control	water	XX	2
control_water__XX_003	control	water	XX	3
control_water__XX_004	control	water	XX	4
mock____mock___XX_001	mock	mock	XX	1
mock____mock___XX_002	mock	mock	XX	2
mock____mock___XX_003	mock	mock	XX	3
mock____mock___XX_004	mock	mock	XX	4
